controller,grid,scenario,seed,simulation_duration_s,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,completion_of_departed_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,mean_step_waiting_time,mean_vehicle_count,teleports_started,teleports_ended,active_at_end,min_expected_at_end,tls_count,active_program,peak_process_tree_ram_mb,simulation_loop_runtime_s,total_wall_runtime_s,tripinfo_arrival_match,step_file,tripinfo_file,status,controller_final,algorithm_family,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,model_size_total_mb,wall_runtime_s
actuated,2x2,dynamic,11,1800,1200,1200,1135,94.58333333333333,94.58333333333333,93.44493392070484,9.994713656387665,27.56264317180617,1.24375,11,8.310416666666667,6.952083333333333,0,0,65,65,4,0,92.734375,8.602889707894064,9.64315850008279,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed11_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,dynamic,12,1800,1200,1200,1129,94.08333333333333,94.08333333333333,94.48804251550044,10.58015943312666,28.597378210806024,1.4083333333333334,11,9.354166666666666,7.135416666666667,0,0,71,71,4,0,92.65625,8.539356458000839,9.584698457969353,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed12_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,dynamic,13,1800,1200,1200,1132,94.33333333333334,94.33333333333334,95.67932862190813,11.242049469964664,29.35148409893993,1.4534722222222223,10,9.764583333333333,7.194444444444445,0,0,68,68,4,0,92.609375,8.641510333982296,9.683048165985383,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed13_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,dynamic,14,1800,1200,1200,1134,94.5,94.5,94.41269841269842,10.630511463844798,28.28520282186949,1.34375,10,9.677777777777777,7.002777777777778,0,0,66,66,4,0,92.765625,8.622951750061475,9.669459374970756,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed14_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,dynamic,15,1800,1200,1200,1134,94.5,94.5,94.32098765432099,10.99294532627866,28.64969135802469,1.3569444444444445,10,9.865972222222222,7.01875,0,0,66,66,4,0,92.5625,8.616788499988616,9.659617459052242,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_dynamic_seed15_tripinfo.xml,PASS,actuated,conventional,,,,,,
original_fixed,2x2,dynamic,11,1800,1200,1199,1115,92.91666666666667,92.99416180150125,115.4035874439462,28.543497757847533,49.69966816143498,4.272222222222222,16,66.27430555555556,10.513194444444444,0,0,84,85,4,0,92.515625,8.62825133302249,9.666341749951243,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed11_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
original_fixed,2x2,dynamic,12,1800,1200,1200,1117,93.08333333333333,93.08333333333333,117.24798567591763,29.95344673231871,51.45811996418979,4.429861111111111,18,68.72083333333333,10.702083333333333,0,0,83,83,4,0,92.515625,8.582205042010173,9.62253316596616,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed12_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
original_fixed,2x2,dynamic,13,1800,1200,1199,1119,93.25,93.32777314428691,117.52636282394995,29.4798927613941,51.26609472743521,4.455555555555556,19,69.95069444444445,10.78125,0,0,80,81,4,0,92.484375,8.594746749964543,9.636518791900016,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed13_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
original_fixed,2x2,dynamic,14,1800,1200,1200,1117,93.08333333333333,93.08333333333333,114.98836168307967,27.98209489704566,48.80751119068935,4.220833333333333,18,65.03402777777778,10.390972222222222,0,0,83,83,4,0,92.421875,8.60131358297076,9.642967749969102,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed14_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
original_fixed,2x2,dynamic,15,1800,1200,1200,1113,92.75,92.75,115.35040431266846,28.793351302785265,49.67240790655885,4.289583333333334,15,65.19513888888889,10.447222222222223,0,0,87,87,4,0,92.46875,8.610639457940124,9.65250504098367,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_dynamic_seed15_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
webster_fixed,2x2,dynamic,11,1800,1200,1199,1129,94.08333333333333,94.16180150125103,100.77413640389726,13.968999114260408,34.892922940655446,1.8840277777777779,10,10.040277777777778,8.063888888888888,0,0,70,71,4,a,98.0625,8.616709957947023,9.702608249965124,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed11_tripinfo.xml,PASS,webster_fixed,conventional,,,,,,
webster_fixed,2x2,dynamic,12,1800,1200,1200,1125,93.75,93.75,101.59022222222222,13.977777777777778,35.788853333333336,1.9013888888888888,10,9.822222222222223,8.19513888888889,0,0,75,75,4,a,98.9375,8.616922999965027,9.684867708943784,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed12_tripinfo.xml,PASS,webster_fixed,conventional,,,,,,
webster_fixed,2x2,dynamic,13,1800,1200,1200,1127,93.91666666666667,93.91666666666667,107.07630878438331,15.709849157054126,40.76062999112688,2.2569444444444446,13,12.090277777777779,9.097222222222221,0,0,73,73,4,a,99.125,8.616760042030364,9.6974513749592,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed13_tripinfo.xml,PASS,webster_fixed,conventional,,,,,,
webster_fixed,2x2,dynamic,14,1800,1200,1200,1127,93.91666666666667,93.91666666666667,102.2360248447205,14.233362910381544,36.100425909494234,1.9958333333333333,10,10.542361111111111,8.342361111111112,0,0,73,73,4,a,99.375,8.620390249998309,9.707505958969705,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed14_tripinfo.xml,PASS,webster_fixed,conventional,,,,,,
webster_fixed,2x2,dynamic,15,1800,1200,1200,1129,94.08333333333333,94.08333333333333,102.53941541186892,14.799822852081489,36.79205491585474,1.9861111111111112,10,10.50763888888889,8.32013888888889,0,0,71,71,4,a,99.390625,8.529287833021954,9.616277000051923,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed15_tripinfo.xml,PASS,webster_fixed,conventional,,,,,,
actuated,2x2,high,11,1800,3000,1578,365,12.166666666666668,23.130544993662863,297.8301369863014,186.56438356164384,222.77117808219177,73.42152777777778,100,10005.961805555555,80.62430555555555,105,51,1181,2635,4,0,109.234375,9.87658941699192,10.928089207969606,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed11_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,high,12,1800,3000,1620,408,13.600000000000001,25.185185185185183,305.63235294117646,192.1078431372549,233.03357843137255,72.9625,100,9346.314583333333,80.80694444444444,111,60,1184,2592,4,0,108.75,9.830725749954581,10.884068457991816,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed12_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,high,13,1800,3000,1571,360,12.0,22.915340547422026,287.35833333333335,178.53055555555557,212.48586111111112,75.32847222222222,100,10979.106944444444,82.45486111111111,116,70,1187,2640,4,0,108.75,9.82259529188741,10.871714625041932,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed13_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,high,14,1800,3000,1630,410,13.666666666666666,25.153374233128833,276.00243902439024,169.01463414634145,206.82626829268293,73.45833333333333,100,8804.952777777778,81.50347222222223,96,49,1187,2590,4,0,108.625,9.864509167033248,10.908790542045608,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed14_tripinfo.xml,PASS,actuated,conventional,,,,,,
actuated,2x2,high,15,1800,3000,1656,433,14.433333333333334,26.147342995169083,274.00461893764435,160.57505773672057,201.5337413394919,73.2375,100,8966.714583333332,81.81527777777778,100,54,1194,2567,4,0,108.46875,9.845692291972227,10.8900503750192,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed15_tripinfo.xml,PASS,actuated,conventional,,,,,,
original_fixed,2x2,high,11,1800,3000,1575,356,11.866666666666667,22.6031746031746,271.80056179775283,164.9691011235955,199.48960674157303,74.89652777777778,100,8619.30625,83.07291666666667,97,52,1187,2644,4,0,107.765625,9.768513249931857,10.818240332999267,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed11_tripinfo.xml,PASS,original_fixed,conventional,,,,,,
